Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude,Features
67,K6JSI,147.3,,+,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1480): Cottonwood, At Tom's house 600'", , , , ,,40.389339,-122.27417,AllStar (1480)
69,KF6QYX,448.05,,-,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1779): At Bob's house, good Vegas coverage", , , , ,,36.169941,-115.139832,AllStar (1779)
71,NQ6U,442.5,,+,Tone,72,88.5,23,NN,FM,5, ,AllStar (40597): Fort Myers  50' elevation, , , , ,,26.614149,-81.825768,AllStar (40597)
72,K4GET,147.48,Simplex,,Tone, ,88.5,23,NN,FM,5, ,"IRLP (8091): Plantation FL, 24 Miles North of Miami, FL", , , , ,,27.068581,-82.372299,IRLP (8091)
73,WH6FM,146.82,,-,Tone,100,88.5,23,NN,FM,5, ,AllStar (27582): East Hawaii, , , , ,,19.432409,-155.294144,AllStar (27582)
75,W7BNW,446.55,,-,Tone,100,88.5,23,NN,FM,5, ,AllStar (41158): 20 miles North of Prescott, , , , ,,34.885574,-112.468224,AllStar (41158)
79,VK4RBY,438.6,,-,Tone,91.5,88.5,23,NN,FM,5, ,"IRLP (6762): 13km NW of Mackay, Queensland, Australia", , , , ,,-21.141956,149.186515,IRLP (6762)
80,WA6RQX,444.75,,+,Tone,123,88.5,23,NN,FM,5, ,"AllStar (1460): Sanel Mountain, 3,329', ", , , , ,,38.947956,-123.216117,AllStar (1460)
81,WB5LJO,442.1,,+,Tone,123,88.5,23,NN,FM,5, ,"AllStar (27669): 3,941'  City of El Paso", , , , ,,31.761877,-106.485023,AllStar (27669)
83,N7OKN,440.675,,+,Tone, ,88.5,23,NN,FM,5, ,"AllStar (29600): John's house, 46' tower
@ Main & Dobson  ", , , , ,,,,AllStar (29600)
84,K6PNG,449.125,,-,Tone,67,88.5,23,NN,FM,5, , (): Lake Havasu City, , , , ,,,, ()
85,K6IXQ,145.725,Simplex,,Tone, ,88.5,23,NN,FM,5, ,"IRLP (3653): Costa Mesa, good local coverage", , , , ,,,,IRLP (3653)
86,KF6SWL,442.35,,+,Tone, ,88.5,23,NN,FM,5, ,"IRLP (4120): Ashland, NE.  25 miles SW of Omaha   Off Air", , , , ,,,,IRLP (4120)
89,WA6RQX,444.75,,+,Tone,100,88.5,23,NN,FM,5, ," (): Bunker Hill, 2,457' + 100'", , , , ,,,, ()
90,K7WWA,147.12,,+,Tone,103.5,88.5,23,NN,FM,5, ,"AllStar (1460): Laughlin Range, 3,250' + 100'", , , , ,,,,AllStar (1460)
91,K4GET,441.425,,+,Tone,103.5,88.5,23,NN,FM,5, ,"AllStar (29888): Plantation FL, 24 Miles North of Miami, FL", , , , ,,,,AllStar (29888)
92,AJ9Y,448.075,,-,Tone,100,88.5,23,NN,FM,5, ,"IRLP (3423): At Bob's house in Tolleson, AZ.", , , , ,,,,IRLP (3423)
93,KF6QBW,444.825,,+,Tone,100,88.5,23,NN,FM,5, ,AllStar (28839): , , , , ,,,,AllStar (28839)
94,W7VTX,445.8,Simplex,,Tone, ,88.5,23,NN,FM,5, ,AllStar (43667): Rich's House - Maple Leaf Neighborhood - 370 feet above sea level - 30' above the ground, , , , ,,,,AllStar (43667)
95,W7VTX,146.55,Simplex,,Tone, ,88.5,23,NN,FM,5, ,AllStar (45911): Rich's House - Maple Leaf Neighborhood - 370 feet above sea level - 30' above the ground, , , , ,,,,AllStar (45911)
96,K2NSX,442.125,,+,Tone,107.2,88.5,23,NN,FM,5, ,AllStar (29040): 30', , , , ,,,,AllStar (29040)
